day1,1,“evidence”,“Evidence shows that global warming is certainly occurring.”,“지구 온난화가 분명히 일어나고 있다는 것을 증거가 보여 준다.”
day1,2,“beneficial”,“Heavily processed foods such as frozen food lack beneficial bacteria.”,“냉동식품과 같은 많이 가공된 식품들은 유익한 세균이 부족하다.”
day1,3,“value”,“The company’s stock continues to drop in value.”,“그 회사의 주식은 가치가 계속 하락하고 있다.”
day1,4,“pandemic”,“Because of the global pandemic, work from home is becoming more common.”,“전 세계적인 대규모 유행병 때문에 재택 근무가 더 흔해지고 있다.”
day1,5,“public”,“The advertisement is designed to raise public awareness of the issues.”,“그 광고는 그 쟁점들에 대한 대중의 의식을 증진시키기 위해 계획된 것이다.”
day1,6,“ingredient”,“The main ingredient of the dish is the passion!”,“음식의 주재료는 열정이다!”
day1,7,“enhance”,“To be profitable, we have to further enhance our position in the EU.”,“이익을 내기 위해서, 우리는 EU에서의 입지를 더욱 높여야 한다.”
day1,8,“innocent”,“Their notions of friendly, innocent indigenous people will probably be confirmed.”,“친절하고 순수한 토착민에 대한 그들의 개념은 아마도 확고해질 것이다.”
day1,9,“statistic”,“When you see a statistic, remember that the sample is just as important as the statistic itself.”,“통계치를 볼 때, 표본이 그 통계치 자체만큼이나 중요하다는 것을 기억하라.”
day1,10,“donate”,“Buying goods at charity shops is a meaningful way to donate.”,“자선 상점에서 물건을 사는 것은 기부하는 의미 있는 한 방법이다.”
day1,11,“struggle”,“Water and air are the very things that some people desperately struggle to have.”,“물과 공기는 어떤 사람들에게는 필사적으로 갖기 위해 애쓰는 바로 그것이다.”
day1,12,“rapid”,“At a time of rapid and profound change, we must strengthen our resolve.”,“빠르고 심오한 변화의 시대에, 우리는 결의를 다져야 한다.”
day1,13,“trigger”,“Certain forms of illness can be triggered by food allergies.”,“특정한 유형의 병은 음식 알레르기에 의해 유발될 수 있다.”
day1,14,“dabate”,“Rita sees a notice on the school bulletin board about a debate competition.”,“Rita는 학교 게시판에서 토론 대회에 관한 공고를 본다.”
day1,15,“constant”,“A fire provides a constant flickering change in visual information.”,“불은 시각 정보에 있어서 끊임없이 깜박거리는 변화를 제공한다.”
day1,16,“raw data”,“Graphs display data more efficiently than tables of raw data do.”,“도표들은 원자료의 표보다 자료를 더 효율적으로 보여 준다.”
day1,17,“grant”,“In Peru, the government grants water to communities separately from land.”,“페루에서는 정부가 토지와는 별도로 지역 사회에 물을 준다.”
day1,18,“capacity”,“They operated the factory 24/7 at maximum capacity.”,“그들은 그 공장을 완전 가동으로 24시간 7일 내내 작동시켰다.”
day1,19,“abrupt”,“There was an abrupt change in the weather.”,“날씨의 갑작스러운 변화가 있었다.”
day1,20,“landscape”,“The landscape looked fascinating as the bus headed to Alsace.”,“버스가 Alsace로 향하는 동안 경치는 굉장히 아름다워 보였다.”
day1,21,“instrument”,“We needed a new musical instrument for our performance.”,“공연을 위해 우리에게는 새로운 악기가 필요했다.”
day1,22,“authorize”,“The government announced they would not authorize festivals or any type of event in the residential areas.”,“정부는 거주 지역에서 축제나 어떤 형식의 행사도 승인하지 않을 것이라고 발표했다.”
day1,23,“desirable”,“Precious metals have been desirable as money across the millennia because they exist in fixed quantities.”,“귀금속은 고정된 양으로 존재하기 때문에 수천 년에 걸쳐 돈으로서 바람직했다.”
day1,24,“germ”,“People have come to see all germs as threats to good health.”,“사람들이 모든 세균을 좋은 건강에 대한 위협으로 보기에 이르렀다.”
day1,25,“density”,“The density of the air plays a determining factor in the loudness of sound waves passing through it.”,“공기의 밀도는 그것을 통과하는 음파의 크기를 결정하는 요소로 작용한다.”
day1,26,“Intangible”,“Intangible cultural heritages are cultural heritages that include oral traditions.”,“무형 문화유산은 구전을 포함하는 문화유산이다.”
day1,27,“monitor”,“Nurses monitor the patient’s heart rate.”,“간호사들은 환자의 심박동수를 추적 관찰한다.”
day1,28,“budget”,“My maximum budget is 100 dollars.”,“내 최대 예산은 100달러이다.”
day1,29,“mission”,“His mission in life was to work with young people.”,“그의 평생 사명은 젊은이들과 함께 일하는 것이었다.”
day1,30,“mixture”,“European-and Asian-style buildings stood side by side, and many buildings looked neither completely Western nor completely Eastern but a mixture of the two.”,“유럽 스타일과 아시아 스타일의 건물들이 나란히 있었는데, 많은 건물들이 완전히 서양적이지도 완전히 동양적이지도 않고 그 둘의 혼합으로 보였다.”
day1,31,“illegal”,“It is illegal to use a cellphone while driving.”,“운전 중에 휴대전화를 사용하는 것은 불법이다.”
day1,32,“disregard”,“The safety of our children is at risk largely due to the disregard for speed limits.”,“우리 아이들의 안전이 제한 속도 무시로 인해 크게 위협받고 있다.”
day1,33,“criterion”,“Our appetite is a good criterion of our health.”,“식욕은 건강 상태에 대한 좋은 판단 기준이다.”
day1,34,“pros and cons”,“Now, we must conclude today’s discussion about the pros and cons of a cashless society.”,“이제 우리는 현금 없는 사회의 장단점에 대한 오늘의 토론을 결론지어야 한다.”
day1,35,“majority”,“The majority of respondents report they derived benefits from their adversity.”,“대다수의 응답자가 자신이 겪은 역경에서 이익을 얻었다고 보고한다.”
day1,36,“forecast”,“What did the weather forecast say this morning?”,“오늘 아침에 일기 예보에서 뭐라고 했나요?”
day1,37,“luxury”,“It was a luxury if you had a refrigerator in those days.”,“그 당시에 냉장고를 가지고 있었다면 그것은 사치였다.”
day1,38,“median”,“The median is the number that is exactly in the middle of all the other figures.”,“중앙값은 모든 다른 수치들의 정확히 중간에 있는 숫자이다.”
day1,39,“patience”,“Wisdom and patience can result from the gradual accumulation of life experiences.”,“지혜와 인내는 삶의 경험이 조금씩 축적되는 것에서 나올 수 있다.”
day1,40,“reveal”,“The way to build a strong relationship would be to reveal the most private details about yourself.”,“확고한 관계를 형성하는 방법은 여러분에 관한 가장 사적인 세부 사항을 드러내는 것이다.”
day1,41,“evidence”,“There is still no scientific evidence to suggest that underwater births are dangerous.”,“수중 출산이 위험하다고 제시한 과학적 증거는 아직 없다.”
day1,42,“intangible”,“Her ability to inspire and lead players is an intangible that is difficult to quantify.”,“선수들에게 영감을 주고 이끄는 그녀의 능력은 계량화하기가 어려운 무형의 것이다.”
day1,43,“raw data”,“Big data specialists extract new, additional values from a large amount of unfiltered raw data.”,“빅 데이터 전문가들은 많은 양의 정제되지 않은 미가공 데이터로부터 새롭고, 추가적인 가치를 추출해낸다.”

